tradingsymbol,exchange_token
360ONE,13061
3MINDIA,474
63MOONS,11868
AADHARHFC,23729
AARTIIND,7
AARTIPHARM,13868
AAVAS,5385
ABB,13
ABBOTINDIA,17903
ABCOTS,759130
ABDL,24308
ABREL,625
ABSLAMC,6018
ACC,22
ACCELYA,7053
ACE,13587
ACI,12024
ACUTAAS,5578
ADANIENSOL,10217
ADANIENT,25
ADANIGREEN,3563
ADANIPORTS,15083
ADOR,34
ADVAIT,760657
AEGISLOG,40
AETHER,9810
AFFLE,11343
AGARIND,3389
AGARWALEYE,29452
AGI,1412
AHLUCONT,17833
AIAENG,13086
AIIL,23553
AJANTPHARM,8124
AJAXENGG,29624
AKUMS,24715
ALBERTDAVD,17256
ALICON,13656
ALIVUS,5265
ALKEM,11703
ALKYLAMINE,4487
ALLDIGI,11798
AMBER,1185
AMBIKCO,15234
AMBUJACEM,1270
AMRUTANJAN,17547
ANANDRATHI,7145
ANANTRAJ,13620
ANTELOPUS,13598
ANTHEM,757885
ANUP,9014
ANURAS,2829
APARINDS,11491
APEX,21623
APLAPOLLO,25780
APLLTD,25328
APOLLOHOSP,157
APOLLOPIPE,14361
APOLLOTYRE,163
APOLSINHOT,6302
ARE&M,100
ARIHANT,13885
ARMANFIN,17263
ARROWGREEN,9260
ARSSBL,759956
ARVINDFASN,9111
ARVSMART,10457
ASAHIINDIA,5378
ASAL,10634
ASALCBR,17598
ASHAPURMIN,203
ASIANPAINT,236
ASKAUTOLTD,20152
ASTEC,17728
ASTERDM,1508
ASTRAL,14418
ASTRAMICRO,11618
ASTRAZEN,5610
ATGL,6066
ATHERENERG,757645
ATLANTAELE,759007
ATUL,263
ATULAUTO,30023
AUBANK,21238
AURIONPRO,12022
AUROPHARMA,275
AUTOAXLES,278
AVADHSUGAR,21410
AVALON,15058
AVANTIFEED,7936
AVL,25984
AWHCL,1797
AXISBANK,5900
AXISCADES,9436
AZAD,20905
BAJAJ-AUTO,16669
BAJAJCON,19531
BAJAJFINSV,16675
BAJAJHLDNG,305
BAJFINANCE,317
BALAMINES,14501
BALKRISIND,335
BALRAMCHIN,341
BALUFORGE,23607
BANARISUG,350
BANCOINDIA,13880
BASF,368
BATAINDIA,371
BAYERCROP,17927
BBL,13761
BBOX,3435
BBTC,380
BDL,2144
BEL,383
BEML,395
BERGEPAINT,404
BETA,759842
BFINVEST,21113
BFUTILITIE,14567
BHARATFORG,422
BHARATRAS,3834
BHARTIARTL,10604
BHARTIHEXA,23489
BIKAJI,11966
BIL,7848
BIRLACORPN,480
BIRLANU,1455
BLACKBUCK,27144
BLUEDART,495
BLUEJET,19686
BLUESTARCO,8311
BLUESTONE,759291
BORORENEW,3149
BOSCH-HCIL,4491
BOSCHLTD,2181
BRIGADE,15184
BRITANNIA,547
BSE,19585
BUILDPRO,760594
BUTTERFLY,2716
CAMS,342
CANFINHOME,583
CAPILLARY,759867
CAPLIPOINT,3906
CARBORUNIV,595
CARERATING,29113
CARRARO,28879
CARTRADE,5407
CARYSIL,1879
CCL,11452
CDSL,21174
CEATLTD,15254
CEINSYS,761037
CELLO,19795
CEMPRO,5622
CENTENKA,619
CENTUM,14982
CENTURYPLY,13305
CERA,15039
CGPOWER,760
CHALET,8546
CHAMBLFERT,637
CHENNPETRO,2049
CHEVIOT,9879
CHOICEIN,8866
CHOLAFIN,685
CHOLAHLDNG,21740
CIEINDIA,14937
CIGNITITEC,5142
CIPLA,694
CLEAN,5049
CLEANMAX,760183
CNL,11155
COALINDIA,20374
COCHINSHIP,21508
COFORGE,11543
COLPAL,15141
CONCOR,4749
CONCORDBIO,18060
CONTROLPR,17477
COROMANDEL,739
CORONA,760254
COSMOFIRST,742
CPPLUS,758858
CRAFTSMAN,2854
CREDITACC,4421
CRISIL,757
CUMMINSIND,1901
CYIENT,5748
DABUR,772
DALBHARAT,8075
DATAMATICS,11423
DATAPATTNS,7358
DBL,18086
DCMSHRIRAM,811
DECCANCE,14838
DEEPAKFERT,827
DEEPAKNTR,19943
DEEPINDS,3292
DELHIVERY,9599
DENORA,4279
DHANUKA,24409
DHUNINV,22233
DIAMONDYD,21840
DICIND,703
DIVGIITTS,14479
DIVISLAB,10940
DIXON,21690
DLF,14732
DLINKINDIA,17851
DMART,19913
DODLA,4822
DOLPHIN,18139
DOMS,20551
DPABHUSHAN,936
DREDGECORP,11271
DRREDDY,881
DSSL,25690
DYNAMATECH,4525
E2E,8940
EBGNG,757862
ECLERX,15179
EICHERMOT,910
EIDPARRY,916
EIMCOELECO,4040
ELDEHSG,8953
ELECON,13643
ELECTHERM,4469
ELGIEQUIP,937
EMAMILTD,13517
EMCURE,24398
EMUDHRA,9756
ENDURANCE,18822
ENRIN,756871
ENTERO,22717
EPIGRAL,5382
ERIS,21154
ESABINDIA,955
ESCORTS,958
ETHOSLTD,9750
EUREKAFORB,25162
EVERESTIND,993
EXCELINDUS,11471
EXPLEOSOL,17486
FACT,1008
FAIRCHEMOR,1614
FAZE3Q,12006
FIEMIND,13710
FINCABLES,1038
FINEORG,3744
FIVESTAR,12032
FLUOROCHEM,13750
FMGOETZE,1190
FORCEMOT,11573
FORTIS,14592
FOSECOIND,1073
FRACTAL,760961
GABRIEL,1085
GALAPREC,25134
GALAXYSURF,1315
GALLANTT,13337
GANDHITUBE,14116
GANECOS,6944
GANESHHOU,14339
GARFIBRES,1100
GESHIP,13776
GHCL,1127
GILLETTE,1576
GKWLIMITED,17357
GLAND,1186
GLAXO,1153
GLENMARK,7406
GLOBUSSPR,17424
GLOSTERLTD,23590
GMBREW,1168
GMDCLTD,5204
GMMPFAUDLR,1570
GNA,18571
GNFC,1174
GODFRYPHLP,1181
GODREJAGRO,144
GODREJCP,10099
GODREJIND,10925
GODREJPROP,17875
GOKEX,11778
GOLDIAM,11971
GOODLUCK,6125
GOODYEAR,1205
GRANULES,11872
GRAPHITE,592
GRASIM,1232
GRAVITA,20534
GRINDWELL,13560
GRINFRA,5054
GROBTEA,17770
GRPLTD,6543
GRSE,5475
GRWRHITECH,7982
GSPCROP,762239
GUJALKALI,1267
GUJAPOLLO,14677
GULFOILLUB,4391
GVPIL,7866
GVT&D,16783
HAL,2303
HALEOSLABS,21551
HAPPYFORGE,20854
HATSUN,3892
HAVELLS,9819
HBLENGINE,13966
HCG,15555
HCLTECH,7229
HDBFS,757772
HDFCAMC,4244
HDFCBANK,1333
HDFCLIFE,467
HEG,1336
HEROMOTOCO,1348
HESTERBIO,7048
HEXT,29666
HGINFRA,1672
HGS,14712
HINDALCO,1363
HINDCOMPOS,1372
HINDCOPPER,17939
HINDUNILVR,1394
HINDZINC,1424
HIRECT,13890
HITECHGEAR,8568
HNDFDS,12173
HOMEFIRST,2056
HONAUT,3417
HONDAPOWER,3138
HSCL,14334
HYUNDAI,25844
ICEMAKE,489
ICICIAMC,760407
ICICIBANK,4963
ICICIGI,21770
ICICIPRULI,18652
ICRA,14523
IDEAFORGE,17140
IFBAGRO,1482
IFBIND,1485
IGPL,14086
IIFL,11809
IKS,28125
IMFA,19235
IMPAL,12009
INDGN,23693
INDHOTEL,1512
INDIACEM,1515
INDIAGLYCO,1521
INDIAMART,10726
INDIANB,14309
INDIASHLTR,20556
INDIGO,11195
INDIGOPNTS,2048
INDNIPPON,4747
INDOTECH,13275
INDRAMEDCO,4751
INDUSINDBK,5258
INDUSTOWER,29135
INFY,1594
INGERRAND,1597
INNOVACAP,21062
INOXINDIA,20607
INSECTICID,14657
INTELLECT,5926
INTERARCH,24909
IPCALAB,1633
IRCTC,13611
ISGEC,3329
ITDC,19299
IZMO,14178
JAINREC,759244
JARO,759951
JBCHEPHARM,1726
JBMA,11655
JINDALPHOT,11743
JINDALPOLY,1756
JINDALSTEL,6733
JINDRILL,13875
JKCEMENT,13270
JKIL,15266
JKLAKSHMI,13491
JKTYRE,14435
JLHL,18553
JPOLYINVST,31507
JSL,11236
JSLL,758115
JSWDULUX,1467
JSWENERGY,17869
JSWHL,11880
