Company Name,tradingsymbol,exchange_token
360 One Wam Limited,360ONE,13061
3M India Limited,3MINDIA,474
63 moons technologies limited,63MOONS,11868
Aarti Industries Limited,AARTIIND,7
Aarti Pharmalabs Limited,AARTIPHARM,13868
Aavas Financiers Limited,AAVAS,5385
ABB India Limited,ABB,13
Abbott India Limited,ABBOTINDIA,17903
A B Cotspin India Limited,ABCOTS,759130
Aditya Birla Real Estate Limited,ABREL,625
Aditya Birla Sun Life AMC Limited,ABSLAMC,6018
ACC Limited,ACC,22
Accelya Solutions India Limited,ACCELYA,7053
Action Construction Equipment Limited,ACE,13587
Archean Chemical Industries Limited,ACI,12024
Acutaas Chemicals Limited,ACUTAAS,5578
Adani Energy Solutions Limited,ADANIENSOL,10217
Adani Enterprises Limited,ADANIENT,25
Adani Green Energy Limited,ADANIGREEN,3563
Adani Ports and Special Economic Zone Limited,ADANIPORTS,15083
Ador Welding Limited,ADOR,34
Advait Infratech Limited,ADVAIT,760657
Aegis Logistics Limited,AEGISLOG,40
Aether Industries Limited,AETHER,9810
Affle 3i Limited,AFFLE,11343
Agarwal Industrial Corporation Limited,AGARIND,3389
AGI Greenpac Limited,AGI,1412
Ahluwalia Contracts (India) Limited,AHLUCONT,17833
AIA Engineering Limited,AIAENG,13086
Authum Investment & Infrastructure Limited,AIIL,23553
Ajanta Pharma Limited,AJANTPHARM,8124
Alicon Castalloy Limited,ALICON,13656
Alivus Life Sciences Limited,ALIVUS,5265
Alkem Laboratories Limited,ALKEM,11703
Alkyl Amines Chemicals Limited,ALKYLAMINE,4487
Alldigi Tech Limited,ALLDIGI,11798
Amber Enterprises India Limited,AMBER,1185
Ambika Cotton Mills Limited,AMBIKCO,15234
Ambuja Cements Limited,AMBUJACEM,1270
Amrutanjan Health Care Limited,AMRUTANJAN,17547
Anand Rathi Wealth Limited,ANANDRATHI,7145
Anant Raj Limited,ANANTRAJ,13620
Antelopus Selan Energy Limited,ANTELOPUS,13598
The Anup Engineering Limited,ANUP,9014
Anupam Rasayan India Ltd,ANURAS,2829
APAR Industries Limited,APARINDS,11491
Apex Frozen Foods Limited,APEX,21623
APL Apollo Tubes Limited,APLAPOLLO,25780
Alembic Pharmaceuticals Limited,APLLTD,25328
Apollo Hospitals Enterprise Limited,APOLLOHOSP,157
Apollo Tyres Limited,APOLLOTYRE,163
Amara Raja Energy & Mobility Limited,ARE&M,100
Arihant Foundations & Housing Limited,ARIHANT,13885
Arman Financial Services Limited,ARMANFIN,17263
Arrow Greentech Limited,ARROWGREEN,9260
Arvind Fashions Limited,ARVINDFASN,9111
Arvind SmartSpaces Limited,ARVSMART,10457
Asahi India Glass Limited,ASAHIINDIA,5378
Automotive Stampings and Assemblies Limited,ASAL,10634
Associated Alcohols & Breweries Limited,ASALCBR,17598
Ashapura Minechem Limited,ASHAPURMIN,203
Asian Paints Limited,ASIANPAINT,236
ASK Automotive Limited,ASKAUTOLTD,20152
Astec LifeSciences Limited,ASTEC,17728
Aster DM Healthcare Limited,ASTERDM,1508
Astral Limited,ASTRAL,14418
Astra Microwave Products Limited,ASTRAMICRO,11618
AstraZeneca Pharma India Limited,ASTRAZEN,5610
Adani Total Gas Limited,ATGL,6066
Ather Energy Limited,ATHERENERG,757645
Atul Ltd,ATUL,263
Atul Auto Limited,ATULAUTO,30023
AU Small Finance Bank Limited,AUBANK,21238
Aurionpro Solutions Limited,AURIONPRO,12022
Aurobindo Pharma Limited,AUROPHARMA,275
Automotive Axles Limited,AUTOAXLES,278
Avadh Sugar & Energy Limited,AVADHSUGAR,21410
Avalon Technologies Limited,AVALON,15058
Aditya Vision Limited,AVL,25984
Antony Waste Handling Cell Limited,AWHCL,1797
Axis Bank Limited,AXISBANK,5900
AXISCADES Technologies Limited,AXISCADES,9436
Azad Engineering Limited,AZAD,20905
Bajaj Auto Limited,BAJAJ-AUTO,16669
Bajaj Consumer Care Limited,BAJAJCON,19531
Bajaj Finserv Ltd.,BAJAJFINSV,16675
Bajaj Holdings & Investment Limited,BAJAJHLDNG,305
Bajaj Finance Limited,BAJFINANCE,317
Balaji Amines Limited,BALAMINES,14501
Balkrishna Industries Limited,BALKRISIND,335
Balrampur Chini Mills Limited,BALRAMCHIN,341
Balu Forge Industries Limited,BALUFORGE,23607
